country,indicator,date,value
CHL,GDP growth,2015-12-31,2.15194249981184
CHL,GDP growth,2014-12-31,1.79264947139259
CHL,GDP growth,2013-12-31,3.30850824710085
CHL,GDP growth,2012-12-31,6.15534001855494
CHL,GDP growth,2011-12-31,6.22389678509138
CHL,GDP growth,2010-12-31,5.85165102224047
CHL,GDP growth,2009-12-31,-1.11803723642878
CHL,GDP growth,2008-12-31,3.78939280635238
CHL,GDP growth,2007-12-31,5.16823098528431
CHL,GDP growth,2006-12-31,6.04999082563968
CHL,GDP growth,2005-12-31,5.83704571917758
CHL,GDP growth,2004-12-31,6.67425416822923
CHL,GDP growth,2003-12-31,4.72324526861041
CHL,GDP growth,2002-12-31,3.20279913520113
CHL,GDP growth,2001-12-31,3.15403492459967
CHL,GDP growth,2000-12-31,4.9716214882971
COL,Inflation,2025-12-31,5.14222911946201
COL,Inflation,2024-12-31,6.60908593728228
COL,Inflation,2023-12-31,11.7359044948689
COL,Inflation,2022-12-31,10.1772313546166
COL,Inflation,2021-12-31,3.49505757399448
COL,Inflation,2020-12-31,2.52663500084706
COL,Inflation,2019-12-31,3.52301932741447
COL,Inflation,2018-12-31,3.24056932930569
COL,Inflation,2017-12-31,4.31431325695011
COL,Inflation,2016-12-31,7.51346024627675
COL,Inflation,2015-12-31,4.9898311584953
COL,Inflation,2014-12-31,2.89883787761738
COL,Inflation,2013-12-31,2.01699224310383
COL,Inflation,2012-12-31,3.16930188840055
COL,Inflation,2011-12-31,3.4150334477625
COL,Inflation,2010-12-31,2.27200227892008
COL,Inflation,2009-12-31,4.20251661216482
COL,Inflation,2008-12-31,6.99688495554511
COL,Inflation,2007-12-31,5.54438485815156
COL,Inflation,2006-12-31,4.29342363628927
COL,Inflation,2005-12-31,5.05101962689696
COL,Inflation,2004-12-31,5.90402005546502
COL,Inflation,2003-12-31,7.1297886294186
COL,Inflation,2002-12-31,6.35150728778872
COL,Inflation,2001-12-31,7.96556090304834
COL,Inflation,2000-12-31,9.22534818585366
COL,Interest rate,2025-12-31,14.3114389316572
COL,Interest rate,2024-12-31,16.3744226380092
COL,Interest rate,2023-12-31,21.0306368304862
COL,Interest rate,2022-12-31,15.8075088706303
COL,Interest rate,2021-12-31,9.3378484091001
COL,Interest rate,2020-12-31,9.85052425129014
COL,Interest rate,2019-12-31,11.7690653821827
COL,Interest rate,2018-12-31,12.1148777449182
COL,Interest rate,2017-12-31,13.6858303184817
COL,Interest rate,2016-12-31,14.6454318106769
COL,Interest rate,2015-12-31,11.4499872575296
COL,Interest rate,2014-12-31,10.8673350376127
COL,Interest rate,2013-12-31,10.9855861710036
COL,Interest rate,2012-12-31,12.5850402049247
COL,Interest rate,2011-12-31,11.2199184470583
COL,Interest rate,2010-12-31,9.38148993683401
COL,Interest rate,2009-12-31,13.0080746033842
COL,Interest rate,2008-12-31,17.1756231436697
COL,Interest rate,2007-12-31,15.3818501011015
COL,Interest rate,2006-12-31,12.893913084832
COL,Interest rate,2005-12-31,14.5608333333333
COL,Interest rate,2004-12-31,15.0830567168883
COL,Interest rate,2003-12-31,15.187101145088
COL,Interest rate,2002-12-31,16.3267983308288
COL,Interest rate,2001-12-31,20.72
COL,Interest rate,2000-12-31,18.7866666666667
PER,Inflation,2025-12-31,1.53125450314273
PER,Inflation,2024-12-31,2.00770739412712
PER,Inflation,2023-12-31,6.45561348369586
PER,Inflation,2022-12-31,8.33370630096231
PER,Inflation,2021-12-31,4.27166381536798
PER,Inflation,2020-12-31,2.00241205759292
PER,Inflation,2019-12-31,2.25212191358027
PER,Inflation,2018-12-31,1.50915423024742
PER,Inflation,2017-12-31,2.99490045809443
PER,Inflation,2016-12-31,3.55717663556279
PER,Inflation,2015-12-31,3.39809194746308
PER,Inflation,2014-12-31,3.41194579807465
PER,Inflation,2013-12-31,2.76789666082002
PER,Inflation,2012-12-31,3.61121294940163
PER,Inflation,2011-12-31,3.36931095333853
PER,Inflation,2010-12-31,1.52832059732901
PER,Inflation,2009-12-31,2.936231535967
PER,Inflation,2008-12-31,5.78587598206755
PER,Inflation,2007-12-31,1.77998644680372
PER,Inflation,2006-12-31,2.00225801248819
PER,Inflation,2005-12-31,1.61630193862544
PER,Inflation,2004-12-31,3.66247320092233
PER,Inflation,2003-12-31,2.25937753363072
PER,Inflation,2002-12-31,0.193135003853722
PER,Inflation,2001-12-31,1.97709878502053
PER,Inflation,2000-12-31,3.75733833344474
PER,Interest rate,2022-12-31,12.5972583333333
PER,Interest rate,2021-12-31,10.9795083333333
PER,Interest rate,2020-12-31,12.9383333333333
PER,Interest rate,2019-12-31,14.38545
PER,Interest rate,2018-12-31,14.539125
PER,Interest rate,2017-12-31,16.7874916666667
PER,Interest rate,2016-12-31,16.4662
PER,Interest rate,2015-12-31,16.1058277777778
PER,Interest rate,2014-12-31,15.7433166666667
PER,Interest rate,2013-12-31,18.13925
PER,Interest rate,2012-12-31,19.2369083333333
PER,Interest rate,2011-12-31,18.677925
PER,Interest rate,2010-12-31,18.9768683333333
PER,Interest rate,2009-12-31,21.0419233333333
PER,Interest rate,2008-12-31,23.6734449024808
PER,Interest rate,2007-12-31,22.8556480555556
PER,Interest rate,2006-12-31,23.9333333333333
PER,Interest rate,2005-12-31,25.5338357716344
PER,Interest rate,2004-12-31,24.6745640588226
PER,Interest rate,2003-12-31,21.0156649712755
PER,Interest rate,2002-12-31,20.7653572885806
PER,Interest rate,2001-12-31,24.9783333333333
PER,Interest rate,2000-12-31,29.9958333333333
PER,GDP growth,2025-12-31,3.43056395124466
PER,GDP growth,2024-12-31,3.5152749274832
PER,GDP growth,2023-12-31,-0.350699814345759
PER,GDP growth,2022-12-31,2.81819976419922
PER,GDP growth,2021-12-31,13.4166456126513
PER,GDP growth,2020-12-31,-10.9333065010382
PER,GDP growth,2019-12-31,2.24063176875049
PER,GDP growth,2018-12-31,3.969351341365
PER,GDP growth,2017-12-31,2.51883544233135
PER,GDP growth,2016-12-31,3.95331871520767
PER,GDP growth,2015-12-31,3.25224477218451
PER,GDP growth,2014-12-31,2.38215737180541
PER,GDP growth,2013-12-31,5.85251821084928
PER,GDP growth,2012-12-31,6.13972470560435
PER,GDP growth,2011-12-31,6.32719240161117
PER,GDP growth,2010-12-31,8.33245910749577
PER,GDP growth,2009-12-31,1.0958236592427
PER,GDP growth,2008-12-31,9.1265683014642
PER,GDP growth,2007-12-31,8.5183877690955
PER,GDP growth,2006-12-31,7.5288990440594
PER,GDP growth,2005-12-31,6.28506032509601
PER,GDP growth,2004-12-31,4.95820320611745
PER,GDP growth,2003-12-31,4.16502313666112
PER,GDP growth,2002-12-31,5.45352893818767
PER,GDP growth,2001-12-31,0.617892325624297
PER,GDP growth,2000-12-31,2.69437139806912
POL,Inflation,2025-12-31,3.81419531520146
POL,Inflation,2024-12-31,3.79060897630197
POL,Inflation,2023-12-31,11.5289127961105
POL,Inflation,2022-12-31,14.4294507575758
POL,Inflation,2021-12-31,5.05502704719272
POL,Inflation,2020-12-31,3.37446972618589
POL,Inflation,2019-12-31,2.22747880938291
POL,Inflation,2018-12-31,1.81295156542689
POL,Inflation,2017-12-31,2.07593553673859
POL,Inflation,2016-12-31,-0.664767331433962
