country,indicator,year,value
CAN,Inflation,2027,2.095
CAN,Inflation,2028,1.993
CAN,Inflation,2029,2.032
CAN,Inflation,2030,2.007
CAN,Inflation,2031,1.954
CAN,Fiscal balance,2027,-2.489
CAN,Fiscal balance,2028,-2.211
CAN,Fiscal balance,2029,-1.985
CAN,Fiscal balance,2030,-1.731
CAN,Fiscal balance,2031,-1.524
CAN,Fiscal balance,2027,-2.012
CAN,Fiscal balance,2028,-1.568
CAN,Fiscal balance,2029,-1.277
CAN,Fiscal balance,2030,-0.983
CAN,Fiscal balance,2031,-0.847
CAN,Gen gov debt,2027,109.454
CAN,Gen gov debt,2028,108.088
CAN,Gen gov debt,2029,106.685
CAN,Gen gov debt,2030,105.167
CAN,Gen gov debt,2031,103.525
HRV,GDP growth,2027,2.638
HRV,GDP growth,2028,2.6
HRV,GDP growth,2029,2.5
HRV,GDP growth,2030,2.5
HRV,GDP growth,2031,2.5
HRV,Inflation,2027,2.732
HRV,Inflation,2028,2.502
HRV,Inflation,2029,2.532
HRV,Inflation,2030,2.523
HRV,Inflation,2031,2.48
HRV,Fiscal balance,2027,-2.856
HRV,Fiscal balance,2028,-2.769
HRV,Fiscal balance,2029,-2.62
HRV,Fiscal balance,2030,-2.465
HRV,Fiscal balance,2031,-2.442
HRV,Fiscal balance,2027,-1.805
HRV,Fiscal balance,2028,-1.765
HRV,Fiscal balance,2029,-1.641
HRV,Fiscal balance,2030,-1.493
HRV,Fiscal balance,2031,-1.464
HRV,Gen gov debt,2027,56.936
HRV,Gen gov debt,2028,57.576
HRV,Gen gov debt,2029,58.095
HRV,Gen gov debt,2030,58.404
HRV,Gen gov debt,2031,58.68
CYP,GDP growth,2027,2.985
CYP,GDP growth,2028,3.01
CYP,GDP growth,2029,3.001
CYP,GDP growth,2030,2.992
CYP,GDP growth,2031,3.0
CYP,Inflation,2027,1.623
CYP,Inflation,2028,2.0
CYP,Inflation,2029,2.0
CYP,Inflation,2030,2.0
CYP,Inflation,2031,2.0
CYP,Fiscal balance,2027,2.5
CYP,Fiscal balance,2028,2.406
CYP,Fiscal balance,2029,2.21
CYP,Fiscal balance,2030,1.811
CYP,Fiscal balance,2031,1.611
CYP,Fiscal balance,2027,3.624
CYP,Fiscal balance,2028,3.467
CYP,Fiscal balance,2029,3.226
CYP,Fiscal balance,2030,2.86
CYP,Fiscal balance,2031,2.6
CYP,Gen gov debt,2027,46.556
CYP,Gen gov debt,2028,42.434
CYP,Gen gov debt,2029,38.723
CYP,Gen gov debt,2030,35.135
CYP,Gen gov debt,2031,32.052
CZE,GDP growth,2027,2.215
CZE,GDP growth,2028,2.091
CZE,GDP growth,2029,1.89
CZE,GDP growth,2030,1.807
CZE,GDP growth,2031,1.808
CZE,Inflation,2027,2.224
CZE,Inflation,2028,2.468
CZE,Inflation,2029,2.0
CZE,Inflation,2030,2.0
CZE,Inflation,2031,2.0
CZE,Fiscal balance,2027,-2.456
CZE,Fiscal balance,2028,-2.663
CZE,Fiscal balance,2029,-2.877
CZE,Fiscal balance,2030,-3.063
CZE,Fiscal balance,2031,-3.064
CZE,Fiscal balance,2027,-1.785
CZE,Fiscal balance,2028,-1.992
CZE,Fiscal balance,2029,-2.206
CZE,Fiscal balance,2030,-2.393
CZE,Fiscal balance,2031,-2.393
CZE,Gen gov debt,2027,47.579
CZE,Gen gov debt,2028,48.762
CZE,Gen gov debt,2029,50.246
CZE,Gen gov debt,2030,51.927
CZE,Gen gov debt,2031,53.624
DNK,GDP growth,2027,1.55
DNK,GDP growth,2028,1.55
DNK,GDP growth,2029,1.54
DNK,GDP growth,2030,1.54
DNK,GDP growth,2031,1.45
DNK,Inflation,2027,2.2
DNK,Inflation,2028,2.223
DNK,Inflation,2029,2.0
DNK,Inflation,2030,2.0
DNK,Inflation,2031,2.0
DNK,Fiscal balance,2027,-0.375
DNK,Fiscal balance,2028,-0.281
DNK,Fiscal balance,2029,-0.515
DNK,Fiscal balance,2030,-0.54
DNK,Fiscal balance,2031,-0.507
DNK,Fiscal balance,2027,-0.975
DNK,Fiscal balance,2028,-0.906
DNK,Fiscal balance,2029,-1.14
DNK,Fiscal balance,2030,-1.165
DNK,Fiscal balance,2031,-1.157
DNK,Gen gov debt,2027,27.833
DNK,Gen gov debt,2028,28.185
DNK,Gen gov debt,2029,28.783
DNK,Gen gov debt,2030,29.351
DNK,Gen gov debt,2031,29.836
EST,GDP growth,2027,1.933
EST,GDP growth,2028,2.333
EST,GDP growth,2029,2.073
EST,GDP growth,2030,1.702
EST,GDP growth,2031,1.667
EST,Inflation,2027,3.035
EST,Inflation,2028,2.8
EST,Inflation,2029,2.349
EST,Inflation,2030,2.349
EST,Inflation,2031,2.349
EST,Fiscal balance,2027,-4.547
EST,Fiscal balance,2028,-4.227
EST,Fiscal balance,2029,-3.598
EST,Fiscal balance,2030,-3.615
EST,Fiscal balance,2031,-3.583
EST,Fiscal balance,2027,-4.139
EST,Fiscal balance,2028,-3.687
EST,Fiscal balance,2029,-2.94
EST,Fiscal balance,2030,-2.959
EST,Fiscal balance,2031,-2.884
EST,Gen gov debt,2027,31.344
EST,Gen gov debt,2028,34.247
EST,Gen gov debt,2029,36.589
EST,Gen gov debt,2030,38.963
EST,Gen gov debt,2031,41.211
FIN,GDP growth,2027,1.506
FIN,GDP growth,2028,1.38
FIN,GDP growth,2029,1.397
FIN,GDP growth,2030,1.189
FIN,GDP growth,2031,1.173
FIN,Inflation,2027,2.204
FIN,Inflation,2028,2.0
FIN,Inflation,2029,2.0
FIN,Inflation,2030,2.0
FIN,Inflation,2031,2.0
FIN,Fiscal balance,2027,-4.25
FIN,Fiscal balance,2028,-4.05
FIN,Fiscal balance,2029,-3.828
FIN,Fiscal balance,2030,-3.678
FIN,Fiscal balance,2031,-3.71
FIN,Fiscal balance,2027,-3.129
FIN,Fiscal balance,2028,-2.716
FIN,Fiscal balance,2029,-2.413
FIN,Fiscal balance,2030,-2.22
FIN,Fiscal balance,2031,-2.212
FIN,Gen gov debt,2027,94.193
FIN,Gen gov debt,2028,96.169
FIN,Gen gov debt,2029,97.874
FIN,Gen gov debt,2030,99.301
FIN,Gen gov debt,2031,100.789
FRA,GDP growth,2027,0.876
FRA,GDP growth,2028,1.217
FRA,GDP growth,2029,1.16
FRA,GDP growth,2030,1.106
FRA,GDP growth,2031,1.058
FRA,Inflation,2027,1.721
FRA,Inflation,2028,1.855
FRA,Inflation,2029,1.871
FRA,Inflation,2030,1.91
FRA,Inflation,2031,1.814
FRA,Fiscal balance,2027,-4.789
FRA,Fiscal balance,2028,-4.26
FRA,Fiscal balance,2029,-3.809
FRA,Fiscal balance,2030,-3.356
FRA,Fiscal balance,2031,-2.895
FRA,Fiscal balance,2027,-2.308
FRA,Fiscal balance,2028,-1.576
FRA,Fiscal balance,2029,-0.998
FRA,Fiscal balance,2030,-0.313
FRA,Fiscal balance,2031,0.388
FRA,Gen gov debt,2027,120.476
FRA,Gen gov debt,2028,121.113
FRA,Gen gov debt,2029,121.342
FRA,Gen gov debt,2030,121.18
FRA,Gen gov debt,2031,120.736
DEU,GDP growth,2027,1.183
DEU,GDP growth,2028,1.196
DEU,GDP growth,2029,0.944
DEU,GDP growth,2030,0.655
DEU,GDP growth,2031,0.623
DEU,Inflation,2027,2.295
DEU,Inflation,2028,1.965
DEU,Inflation,2029,2.157
DEU,Inflation,2030,2.187
DEU,Inflation,2031,2.097
DEU,Fiscal balance,2027,-4.229
DEU,Fiscal balance,2028,-4.061
DEU,Fiscal balance,2029,-3.898
DEU,Fiscal balance,2030,-3.834
DEU,Fiscal balance,2031,-3.66
DEU,Fiscal balance,2027,-3.152
DEU,Fiscal balance,2028,-2.849
DEU,Fiscal balance,2029,-2.555
DEU,Fiscal balance,2030,-2.351
DEU,Fiscal balance,2031,-2.144
DEU,Gen gov debt,2027,66.527
DEU,Gen gov debt,2028,68.393
DEU,Gen gov debt,2029,70.157
DEU,Gen gov debt,2030,71.991
DEU,Gen gov debt,2031,73.671
GRC,GDP growth,2027,1.66
GRC,GDP growth,2028,1.597
GRC,GDP growth,2029,1.602
GRC,GDP growth,2030,1.601
GRC,GDP growth,2031,1.599
GRC,Inflation,2027,2.723
GRC,Inflation,2028,2.465
GRC,Inflation,2029,2.1
GRC,Inflation,2030,2.1
GRC,Inflation,2031,2.1
GRC,Fiscal balance,2027,-0.176
GRC,Fiscal balance,2028,-0.204
GRC,Fiscal balance,2029,-0.472
GRC,Fiscal balance,2030,-0.586
GRC,Fiscal balance,2031,-0.696
GRC,Fiscal balance,2027,3.103
GRC,Fiscal balance,2028,3.074
GRC,Fiscal balance,2029,2.906
GRC,Fiscal balance,2030,2.793
GRC,Fiscal balance,2031,2.683
GRC,Gen gov debt,2027,130.309
GRC,Gen gov debt,2028,125.182
GRC,Gen gov debt,2029,120.377
GRC,Gen gov debt,2030,115.502
GRC,Gen gov debt,2031,110.935
HKG,GDP growth,2027,2.353
HKG,GDP growth,2028,2.308
HKG,GDP growth,2029,2.278
HKG,GDP growth,2030,2.19
HKG,GDP growth,2031,2.17
HKG,Inflation,2027,1.8
HKG,Inflation,2028,2.1
HKG,Inflation,2029,2.2
HKG,Inflation,2030,2.38
HKG,Inflation,2031,2.48
HKG,Fiscal balance,2027,-3.251
HKG,Fiscal balance,2028,-1.341
HKG,Fiscal balance,2029,-0.761
HKG,Fiscal balance,2030,-0.752
HKG,Fiscal balance,2031,-0.752
HKG,Fiscal balance,2027,-3.651
HKG,Fiscal balance,2028,-1.5
HKG,Fiscal balance,2029,-0.879
HKG,Fiscal balance,2030,-0.792
HKG,Fiscal balance,2031,-0.775
HKG,Gen gov debt,2027,15.643
HKG,Gen gov debt,2028,17.453
HKG,Gen gov debt,2029,18.362
HKG,Gen gov debt,2030,19.159
HKG,Gen gov debt,2031,19.825
ISL,GDP growth,2027,2.101
ISL,GDP growth,2028,2.379
ISL,GDP growth,2029,2.413
ISL,GDP growth,2030,2.401
ISL,GDP growth,2031,2.375
ISL,Inflation,2027,2.817
ISL,Inflation,2028,2.513
ISL,Inflation,2029,2.5
ISL,Inflation,2030,2.5
ISL,Inflation,2031,2.5
ISL,Fiscal balance,2027,-0.49
ISL,Fiscal balance,2028,-0.243
ISL,Fiscal balance,2029,-0.124
ISL,Fiscal balance,2030,-0.084
ISL,Fiscal balance,2031,-0.048
ISL,Fiscal balance,2027,1.661
ISL,Fiscal balance,2028,1.945
ISL,Fiscal balance,2029,2.147
ISL,Fiscal balance,2030,2.223
ISL,Fiscal balance,2031,2.303
ISL,Gen gov debt,2027,51.704
ISL,Gen gov debt,2028,49.913
ISL,Gen gov debt,2029,47.758
ISL,Gen gov debt,2030,45.434
ISL,Gen gov debt,2031,42.956
IRL,GDP growth,2027,2.351
IRL,GDP growth,2028,2.56
IRL,GDP growth,2029,2.404
IRL,GDP growth,2030,2.31
IRL,GDP growth,2031,2.29
IRL,Inflation,2027,2.357
IRL,Inflation,2028,1.868
IRL,Inflation,2029,2.035
IRL,Inflation,2030,2.035
IRL,Inflation,2031,2.035
IRL,Fiscal balance,2027,0.689
IRL,Fiscal balance,2028,0.69
IRL,Fiscal balance,2029,0.545
IRL,Fiscal balance,2030,0.37
IRL,Fiscal balance,2031,0.418
IRL,Fiscal balance,2027,1.025
IRL,Fiscal balance,2028,1.096
IRL,Fiscal balance,2029,1.024
IRL,Fiscal balance,2030,0.917
IRL,Fiscal balance,2031,1.054
IRL,Gen gov debt,2027,30.309
IRL,Gen gov debt,2028,29.116
IRL,Gen gov debt,2029,28.381
IRL,Gen gov debt,2030,28.038
IRL,Gen gov debt,2031,28.024
ISR,GDP growth,2027,4.39
ISR,GDP growth,2028,3.742
ISR,GDP growth,2029,3.46
ISR,GDP growth,2030,3.388
ISR,GDP growth,2031,3.385
ISR,Inflation,2027,2.055
ISR,Inflation,2028,1.972
ISR,Inflation,2029,2.018
ISR,Inflation,2030,2.018
ISR,Inflation,2031,2.018
ISR,Fiscal balance,2027,-4.863
ISR,Fiscal balance,2028,-5.087
ISR,Fiscal balance,2029,-4.849
ISR,Fiscal balance,2030,-4.833
ISR,Fiscal balance,2031,-4.94
ISR,Fiscal balance,2027,-2.236
ISR,Fiscal balance,2028,-2.38
ISR,Fiscal balance,2029,-2.097
ISR,Fiscal balance,2030,-2.041
ISR,Fiscal balance,2031,-2.117
ISR,Gen gov debt,2027,70.168
ISR,Gen gov debt,2028,71.021
ISR,Gen gov debt,2029,71.712
ISR,Gen gov debt,2030,72.44
ISR,Gen gov debt,2031,73.238
ITA,GDP growth,2027,0.5
ITA,GDP growth,2028,0.835
ITA,GDP growth,2029,0.739
ITA,GDP growth,2030,0.716
ITA,GDP growth,2031,0.7
ITA,Inflation,2027,2.357
ITA,Inflation,2028,2.3
ITA,Inflation,2029,2.0
ITA,Inflation,2030,2.0
ITA,Inflation,2031,2.0
ITA,Fiscal balance,2027,-2.577
ITA,Fiscal balance,2028,-2.383
ITA,Fiscal balance,2029,-2.515
ITA,Fiscal balance,2030,-2.489
ITA,Fiscal balance,2031,-2.712
ITA,Fiscal balance,2027,1.244
ITA,Fiscal balance,2028,1.626
ITA,Fiscal balance,2029,1.631
ITA,Fiscal balance,2030,1.659
ITA,Fiscal balance,2031,1.615
ITA,Gen gov debt,2027,138.809
ITA,Gen gov debt,2028,137.611
ITA,Gen gov debt,2029,137.138
ITA,Gen gov debt,2030,136.49
ITA,Gen gov debt,2031,136.1
JPN,GDP growth,2027,0.623
JPN,GDP growth,2028,0.625
JPN,GDP growth,2029,0.614
JPN,GDP growth,2030,0.614
JPN,GDP growth,2031,0.608
JPN,Inflation,2027,2.34
JPN,Inflation,2028,1.978
JPN,Inflation,2029,1.979
JPN,Inflation,2030,1.968
JPN,Inflation,2031,1.969
JPN,Fiscal balance,2027,-2.365
JPN,Fiscal balance,2028,-2.945
JPN,Fiscal balance,2029,-3.288
JPN,Fiscal balance,2030,-3.695
JPN,Fiscal balance,2031,-4.039
JPN,Fiscal balance,2027,-1.699
JPN,Fiscal balance,2028,-1.932
JPN,Fiscal balance,2029,-2.033
JPN,Fiscal balance,2030,-2.205
JPN,Fiscal balance,2031,-2.307
JPN,Gen gov debt,2027,200.125
JPN,Gen gov debt,2028,197.725
JPN,Gen gov debt,2029,195.65
JPN,Gen gov debt,2030,193.883
JPN,Gen gov debt,2031,192.805
KOR,GDP growth,2027,2.124
KOR,GDP growth,2028,2.16
KOR,GDP growth,2029,1.969
KOR,GDP growth,2030,1.883
KOR,GDP growth,2031,1.887
KOR,Inflation,2027,1.867
KOR,Inflation,2028,2.0
KOR,Inflation,2029,2.0
KOR,Inflation,2030,2.0
KOR,Inflation,2031,2.0
KOR,Fiscal balance,2027,-1.316
KOR,Fiscal balance,2028,-1.276
KOR,Fiscal balance,2029,-1.083
KOR,Fiscal balance,2030,-1.088
KOR,Fiscal balance,2031,-1.079
KOR,Fiscal balance,2027,-1.259
KOR,Fiscal balance,2028,-1.147
KOR,Fiscal balance,2029,-0.923
KOR,Fiscal balance,2030,-0.895
KOR,Fiscal balance,2031,-0.855
KOR,Gen gov debt,2027,56.585
KOR,Gen gov debt,2028,58.497
KOR,Gen gov debt,2029,60.107
KOR,Gen gov debt,2030,61.712
KOR,Gen gov debt,2031,63.146
LVA,GDP growth,2027,2.373
LVA,GDP growth,2028,2.38
LVA,GDP growth,2029,2.381
LVA,GDP growth,2030,2.368
LVA,GDP growth,2031,2.365
LVA,Inflation,2027,2.722
LVA,Inflation,2028,2.856
LVA,Inflation,2029,2.211
LVA,Inflation,2030,2.162
LVA,Inflation,2031,2.2
LVA,Fiscal balance,2027,-3.882
LVA,Fiscal balance,2028,-3.728
LVA,Fiscal balance,2029,-3.663
LVA,Fiscal balance,2030,-3.922
LVA,Fiscal balance,2031,-4.015
LVA,Fiscal balance,2027,-2.511
LVA,Fiscal balance,2028,-2.319
LVA,Fiscal balance,2029,-2.184
LVA,Fiscal balance,2030,-2.443
LVA,Fiscal balance,2031,-2.536
LVA,Gen gov debt,2027,48.539
LVA,Gen gov debt,2028,49.637
LVA,Gen gov debt,2029,50.826
LVA,Gen gov debt,2030,52.2
LVA,Gen gov debt,2031,53.49
LIE,GDP growth,2027,0.4
LIE,GDP growth,2028,1.2
LIE,GDP growth,2029,1.5
LIE,GDP growth,2030,1.5
LIE,GDP growth,2031,1.5
LIE,Inflation,2027,0.65
LIE,Inflation,2028,0.717
LIE,Inflation,2029,0.711
LIE,Inflation,2030,0.709
LIE,Inflation,2031,0.7
LIE,Fiscal balance,2027,3.201
LIE,Fiscal balance,2028,3.301
LIE,Fiscal balance,2029,3.301
LIE,Fiscal balance,2030,3.301
LIE,Fiscal balance,2031,3.301
LIE,Fiscal balance,2027,3.207
LIE,Fiscal balance,2028,3.307
LIE,Fiscal balance,2029,3.306
LIE,Fiscal balance,2030,3.306
LIE,Fiscal balance,2031,3.306
LIE,Gen gov debt,2027,0.519
LIE,Gen gov debt,2028,0.51
LIE,Gen gov debt,2029,0.499
LIE,Gen gov debt,2030,0.488
LIE,Gen gov debt,2031,0.478
LTU,GDP growth,2027,2.228
LTU,GDP growth,2028,2.642
LTU,GDP growth,2029,2.474
LTU,GDP growth,2030,2.444
LTU,GDP growth,2031,2.403
LTU,Inflation,2027,2.667
LTU,Inflation,2028,2.682
LTU,Inflation,2029,2.487
LTU,Inflation,2030,2.495
LTU,Inflation,2031,2.495
LTU,Fiscal balance,2027,-3.032
LTU,Fiscal balance,2028,-3.313
LTU,Fiscal balance,2029,-3.817
LTU,Fiscal balance,2030,-4.339
LTU,Fiscal balance,2031,-4.31
LTU,Fiscal balance,2027,-2.18
LTU,Fiscal balance,2028,-2.367
LTU,Fiscal balance,2029,-2.819
LTU,Fiscal balance,2030,-3.268
LTU,Fiscal balance,2031,-3.164
LTU,Gen gov debt,2027,48.859
LTU,Gen gov debt,2028,50.786
LTU,Gen gov debt,2029,52.731
LTU,Gen gov debt,2030,54.403
LTU,Gen gov debt,2031,56.251
LUX,GDP growth,2027,1.66
LUX,GDP growth,2028,2.141
LUX,GDP growth,2029,2.071
LUX,GDP growth,2030,2.03
LUX,GDP growth,2031,1.99
LUX,Inflation,2027,2.202
LUX,Inflation,2028,2.126
LUX,Inflation,2029,2.035
LUX,Inflation,2030,2.035
LUX,Inflation,2031,2.035
LUX,Fiscal balance,2027,-1.238
LUX,Fiscal balance,2028,-2.444
LUX,Fiscal balance,2029,-2.691
LUX,Fiscal balance,2030,-2.886
LUX,Fiscal balance,2031,-3.073
LUX,Fiscal balance,2027,-1.119
LUX,Fiscal balance,2028,-2.231
LUX,Fiscal balance,2029,-2.362
LUX,Fiscal balance,2030,-2.442
LUX,Fiscal balance,2031,-2.517
LUX,Gen gov debt,2027,28.854
LUX,Gen gov debt,2028,30.535
LUX,Gen gov debt,2029,32.178
LUX,Gen gov debt,2030,33.73
LUX,Gen gov debt,2031,35.2
MAC,GDP growth,2027,3.073
MAC,GDP growth,2028,3.083
MAC,GDP growth,2029,3.005
MAC,GDP growth,2030,3.01
MAC,GDP growth,2031,3.015
MAC,Inflation,2027,1.924
MAC,Inflation,2028,2.066
MAC,Inflation,2029,2.127
MAC,Inflation,2030,2.177
MAC,Inflation,2031,2.2
MAC,Fiscal balance,2027,4.851
MAC,Fiscal balance,2028,5.309
MAC,Fiscal balance,2029,5.555
MAC,Fiscal balance,2030,5.584
MAC,Fiscal balance,2031,5.429
MLT,GDP growth,2027,3.8
MLT,GDP growth,2028,4.0
MLT,GDP growth,2029,4.0
MLT,GDP growth,2030,4.0
MLT,GDP growth,2031,4.0
MLT,Inflation,2027,2.383
MLT,Inflation,2028,1.968
MLT,Inflation,2029,2.008
MLT,Inflation,2030,1.974
MLT,Inflation,2031,1.975
MLT,Fiscal balance,2027,-2.695
MLT,Fiscal balance,2028,-2.583
MLT,Fiscal balance,2029,-2.555
MLT,Fiscal balance,2030,-2.581
MLT,Fiscal balance,2031,-2.624
MLT,Fiscal balance,2027,-1.444
MLT,Fiscal balance,2028,-1.329
MLT,Fiscal balance,2029,-1.258
MLT,Fiscal balance,2030,-1.286
MLT,Fiscal balance,2031,-1.287
MLT,Gen gov debt,2027,47.493
MLT,Gen gov debt,2028,47.45
MLT,Gen gov debt,2029,47.375
MLT,Gen gov debt,2030,47.313
MLT,Gen gov debt,2031,47.288
NLD,GDP growth,2027,1.422
NLD,GDP growth,2028,1.377
NLD,GDP growth,2029,1.281
NLD,GDP growth,2030,1.191
NLD,GDP growth,2031,1.185
NLD,Inflation,2027,2.364
NLD,Inflation,2028,2.31
NLD,Inflation,2029,2.0
NLD,Inflation,2030,2.0
NLD,Inflation,2031,2.0
NLD,Fiscal balance,2027,-2.064
NLD,Fiscal balance,2028,-2.067
NLD,Fiscal balance,2029,-2.386
NLD,Fiscal balance,2030,-2.459
NLD,Fiscal balance,2031,-2.611
NLD,Fiscal balance,2027,-1.265
NLD,Fiscal balance,2028,-1.158
NLD,Fiscal balance,2029,-1.402
NLD,Fiscal balance,2030,-1.431
NLD,Fiscal balance,2031,-1.532
NLD,Gen gov debt,2027,44.535
NLD,Gen gov debt,2028,44.948
NLD,Gen gov debt,2029,45.851
NLD,Gen gov debt,2030,46.875
NLD,Gen gov debt,2031,48.028
NZL,GDP growth,2027,2.383
NZL,GDP growth,2028,2.367
NZL,GDP growth,2029,2.3
NZL,GDP growth,2030,2.191
NZL,GDP growth,2031,2.187
NZL,Inflation,2027,2.265
NZL,Inflation,2028,2.116
NZL,Inflation,2029,2.015
NZL,Inflation,2030,2.015
NZL,Inflation,2031,2.015
NZL,Fiscal balance,2027,-3.147
NZL,Fiscal balance,2028,-2.127
NZL,Fiscal balance,2029,-1.305
NZL,Fiscal balance,2030,-0.918
NZL,Fiscal balance,2031,-0.625
NZL,Fiscal balance,2027,-2.211
NZL,Fiscal balance,2028,-1.157
NZL,Fiscal balance,2029,-0.335
NZL,Fiscal balance,2030,0.032
NZL,Fiscal balance,2031,0.326
NZL,Gen gov debt,2027,57.832
NZL,Gen gov debt,2028,57.775
NZL,Gen gov debt,2029,57.104
NZL,Gen gov debt,2030,55.473
NZL,Gen gov debt,2031,54.771
NOR,GDP growth,2027,1.33
NOR,GDP growth,2028,1.134
NOR,GDP growth,2029,1.138
NOR,GDP growth,2030,1.142
NOR,GDP growth,2031,1.146
NOR,Inflation,2027,2.6
NOR,Inflation,2028,2.2
NOR,Inflation,2029,2.0
NOR,Inflation,2030,2.0
NOR,Inflation,2031,2.0
NOR,Fiscal balance,2027,8.264
NOR,Fiscal balance,2028,7.573
NOR,Fiscal balance,2029,7.204
NOR,Fiscal balance,2030,6.805
NOR,Fiscal balance,2031,6.326
NOR,Fiscal balance,2027,5.342
NOR,Fiscal balance,2028,5.015
NOR,Fiscal balance,2029,5.021
NOR,Fiscal balance,2030,5.005
NOR,Fiscal balance,2031,4.906
NOR,Gen gov debt,2027,39.44
NOR,Gen gov debt,2028,35.946
NOR,Gen gov debt,2029,32.451
NOR,Gen gov debt,2030,28.956
NOR,Gen gov debt,2031,25.462
PRT,GDP growth,2027,1.8
PRT,GDP growth,2028,1.76
PRT,GDP growth,2029,1.7
PRT,GDP growth,2030,1.65
PRT,GDP growth,2031,1.6
PRT,Inflation,2027,2.275
PRT,Inflation,2028,2.396
PRT,Inflation,2029,2.2
PRT,Inflation,2030,1.982
PRT,Inflation,2031,1.983
PRT,Fiscal balance,2027,-0.163
PRT,Fiscal balance,2028,-0.524
PRT,Fiscal balance,2029,-0.861
PRT,Fiscal balance,2030,-1.213
PRT,Fiscal balance,2031,-1.583
PRT,Fiscal balance,2027,1.462
PRT,Fiscal balance,2028,1.089
PRT,Fiscal balance,2029,0.746
PRT,Fiscal balance,2030,0.391
PRT,Fiscal balance,2031,0.034
PRT,Gen gov debt,2027,82.157
PRT,Gen gov debt,2028,79.254
PRT,Gen gov debt,2029,77.042
PRT,Gen gov debt,2030,75.476
PRT,Gen gov debt,2031,74.38
PRI,GDP growth,2027,1.0
PRI,GDP growth,2028,0.6
