iso3,gdp_growth_latest,inflation_latest
ISR,0.953618469238535,3.07480889805025
ITA,0.783039135276795,0.982373023061417
JAM,-0.535039063867487,5.41194447981659
JOR,2.55605891810194,1.55659611283953
JPN,-0.240084236041696,2.73853681635241
KAZ,4.99999999996936,8.69082156104494
KEN,4.66019594571891,4.06912878540729
KGZ,11.5397119406559,4.99760701207323
KHM,6.0158145735202,0.808042016536654
KIR,4.69613259668509,2.45545072159028
KNA,0.312226855858171,3.55711230848243
KOR,2.00361101838986,2.32174328643542
KWT,-1.47401818168846,2.89855072463762
LAO,4.13019264438475,23.1305695942588
LBN,-7.07989192861814,45.2430422716718
LBR,4.02185464964835,8.21497439118964
LBY,1.89995052025442,2.12615766885021
LCA,4.76890217855616,-0.674240853418779
LKA,4.99241614398109,-0.42936004906973
LSO,5.22503380336101,6.10544624245032
LTU,3.03019543767596,0.715735835228723
LUX,0.358614003982225,2.05113269954859
LVA,-0.0370556648288982,1.26579885828729
MAC,7.84960207010525,0.672498598854365
MAR,4.59524349182247,0.701902154839545
MDA,0.270670455512573,4.67773516007048
MDG,4.32283728087992,7.61335784313723
MDV,3.49440422654285,1.41093527910134
MEX,1.35057631384696,4.72225588452932
MKD,2.99373536567732,3.48974086026954
MLI,5.01653579205785,3.2063986409966
MLT,6.21275996991034,1.65079469283109
MMR,-0.97204641363362,8.82506696804558
MNE,3.16409886329913,3.33675009282281
MNG,5.12204539122661,6.1977990165842
MOZ,2.14892499135355,4.07856834812022
MRT,6.3076021190402,2.49164347481972
MUS,4.94844235250574,3.6045220384796
MWI,1.6734340852915,32.1796504225025
MYS,5.17127082911057,1.38060872293692
NAM,3.77851723267591,4.23903922877036
NCL,-13.4999999989747,0.578317435520754
NER,8.32327058280728,9.07151997725013
NGA,4.07106650147703,23.0101235833333
NIC,3.58094495324541,4.62473841057141
NLD,1.07383137319854,3.34754304219953
NOR,1.42372134524737,3.14530134431081
NPL,3.67787459697703,4.6850965426577
NRU,1.44927536231899,-0.124750499001971
NZL,-0.868722371893952,2.92279782301957
OMN,1.63163231397978,0.593589236248469
PAK,3.08176295579301,12.6325318530452
PAN,2.74784148771307,0.69322555100446
PER,3.43056395124466,1.53125450314273
PHL,4.40240158710621,1.6587364525509
PLW,12.0059720184866,2.23172772921704
PNG,3.88795324667848,0.602403921107917
POL,3.5727250346774,3.81419531520146
PRT,2.21459232301109,2.41613187791876
PRY,4.66914577981763,3.83540271728533
PSE,-22.8573273913324,53.6691458303782
QAT,3.10963283242745,1.26734310292375
ROU,0.916003764382594,5.72140574354439
RUS,4.92167966203073,8.43486410496723
RWA,7.22717103344534,1.77029240198635
SAU,4.50246560191663,2.08420853585036
SDN,-13.9643378424022,138.80846024176
SEN,6.46220577412338,0.804503298792438
SGP,5.3435120192366,2.38951123595017
SLB,2.99755987604104,4.32183948388033
SLE,4.29322334404611,28.6337500014115
SLV,2.5904637107794,0.853782292567288
SMR,0.401932371532837,1.24216507945569
SRB,3.94992622592932,4.6705297488997
SSD,-10.7933646271143,91.4408220769046
STP,1.47888850952698,14.3519273571008
SUR,1.72095749127065,16.2296159130279
SVK,1.93867445549446,2.75760909424279
SVN,1.73139722479493,1.96562656432505
SWE,1.01779633304398,2.83581658224034
SWZ,3.03162462475916,2.59801620311077
SXM,3.00000089532888,2.19201010962985
SYC,3.34667429007052,0.311726050919668
SYR,-0.20247264200475,13.4175653228571
TCD,4.95210484607125,8.89950732263754
TGO,6.52651376797853,2.86262074089801
THA,2.94859986593323,-0.133634356480207
TJK,8.39999980983981,6.00458082322139
TLS,-9.10069289810397,2.06284153005468
TON,1.71653807667747,3.18188924237472
TTO,2.50920813979569,0.526884625776839
TUN,1.61444564976986,7.20661657168794
TUR,3.3276230893799,58.5064507300342
TUV,3.38983050847457,0.5005807431527
TZA,5.5263138305945,3.05694676312373
UGA,6.05558075875589,3.32338033691819
UKR,3.24811808426423,6.50198464669254
URY,3.32575905957381,4.84914366613156
USA,2.79318715363841,2.94952520485207
UZB,6.67618796188361,9.62825465956682
VCT,4.06183490050209,3.62770736940927
VEN,5.52486187845305,254.948534781816
VNM,7.03955197123018,3.62109273885844
VUT,3.76564827114278,1.14348948727412
WSM,4.7483863916535,2.17245530514377
XKX,4.5730971681166,1.61944994559476
YEM,0.752447592962554,8.10472583623915
ZAF,0.534843531905139,4.36115246518962
ZMB,3.82004825518591,14.9856262747939
ZWE,1.67649454921512,104.705170628667
