iso3,indicator,side,rule_id,label_en,label_fr,value
UZB,Debt service,risk,debt_service_high,Debt service above 25 % of exports,Service de la dette au-dessus de 25 % des exports,36.0356756918143
UZB,External debt,risk,external_debt_high,External debt above 60% of GNI,Dette externe supérieure à 60 % du RNB,60.5136500172241
UZB,GDP growth,opportunity,growth_strong,Strong GDP growth above 5 % (value: 6.7),Croissance du PIB soutenue au-dessus de 5 % (valeur : 6.7),6.67618796188361
UZB,Gen gov debt,opportunity,debt_low,Government debt below 40 % of GDP (value: 27.5),Dette publique sous 40 % du PIB (valeur : 27.5),27.48
UZB,Gini,opportunity,gini_low,"Low inequality (Gini below 35, value: 34.6)","Inégalités contenues (Gini sous 35, valeur : 34.6)",34.6
UZB,Regulatory quality,risk,regulatory_quality_low,Regulatory quality below -0.5,"Qualité réglementaire inférieure à -0,5",-0.5267442999999999
UZB,Reserves,opportunity,reserves_high,Comfortable reserves above 6 months of imports (value: 10.3),Réserves confortables au-dessus de 6 mois d'importations (valeur : 10.3),10.2786124689433
UZB,Rule of law,risk,rule_of_law_low,Rule of law below -0.5,"État de droit inférieur à -0,5",-0.6562072
UZB,Unemployment,opportunity,unemp_low,Low unemployment below 5 % (value: 4.4),Chômage faible sous 5 % (valeur : 4.4),4.439
UZB,Youth unemployment,opportunity,youth_unemp_low,Youth unemployment below 12 % (value: 10.8),Chômage des jeunes sous 12 % (valeur : 10.8),10.809
VCT,Control of corruption,opportunity,corruption_ctrl_high,Good control of corruption above 0.5 (value: 0.71),"Maîtrise de la corruption solide au-dessus de 0,5 (valeur : 0.71)",0.7050204
VCT,Current account,risk,ca_deficit,Current account deficit beyond -5 % of GDP,Déficit courant au-delà de -5 % du PIB,-16.6849459746644
VCT,External debt,risk,external_debt_high,External debt above 60% of GNI,Dette externe supérieure à 60 % du RNB,70.3081457169149
VCT,Fiscal balance,risk,fiscal_deficit,Fiscal deficit beyond -5 % of GDP,Déficit budgétaire au-delà de -5 % du PIB,-12.101
VCT,Gen gov debt,risk,debt_high,Government debt above 90 % of GDP,Dette publique au-dessus de 90 % du PIB,120.073
VCT,Political stability,opportunity,pol_stability_high,Strong political stability above 0.5 (value: 1.04),"Stabilité politique solide au-dessus de 0,5 (valeur : 1.04)",1.0382485
VCT,Rule of law,opportunity,rule_of_law_high,Strong rule of law at 0.50: solid legal enforcement.,État de droit solide à 0.50 : application du droit fiable.,0.5017878
VCT,Unemployment,risk,unemp_high,Unemployment above 15 %,Chômage supérieur à 15 %,18.093
VCT,Youth unemployment,risk,youth_unemp_high,Youth unemployment above 25 %,Chômage des jeunes supérieur à 25 %,41.851
VEN,Control of corruption,risk,corruption_high,Control of corruption below -0.5,"Maîtrise de la corruption inférieure à -0,5",-1.5871400999999998
VEN,Fiscal balance,risk,fiscal_deficit,Fiscal deficit beyond -5 % of GDP,Déficit budgétaire au-delà de -5 % du PIB,-5.059
VEN,GDP growth,opportunity,growth_strong,Strong GDP growth above 5 % (value: 5.5),Croissance du PIB soutenue au-dessus de 5 % (valeur : 5.5),5.52486187845305
